Month and Year,industries,number
August 2000,Publishing activities,12
August 2000,Production of films; videos and television material; audio recording and music publishing,23
August 2000,Radio and television broadcasting; programming,79
August 2000,Telecommunications,20
August 2000,Information technology services,1
August 2000,Information service activities,4
August 2000,Financial services; excluding the activities of insurance companies and pension funds,9
August 2000,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,7
August 2000,Activities related to financial services and insurance,3
August 2000,Real estate,29
August 2000,Legal services and accounting,3
August 2000,Headquarters operations; operations consultancy activities,3
August 2000,Activities of architects and engineers; technical tests and analysis,5
August 2000,Scientific research and development,6
August 2000,Advertising and marketing research,
August 2000,Other professional; scientific and technical activities,9
August 2000,Veterinary medicine,4
August 2000,Rental activities; except real estate leasing,7
August 2000,Employment agency,1
August 2000,Travel agencies; tour operators and other booking services,
August 2000,Security and research activities,2
August 2000,Real estate management; cleaning services and ornamental gardening,2
August 2000,Office services and other business services,8
August 2000,Public administration; defense and social security,2
August 2000,Educational activities,41
August 2000,Health care,11
August 2000,Care in residential homes,44
August 2000,Social services without a stay in an institution,187
August 2000,Creative arts and entertainment,84
August 2000,Museum activities and other cultural activities,35
August 2000,Financial risk and betting activities,41
August 2000,Sports and leisure activities,11
August 2000,Activities of NGOs,10
August 2000,Repair of computers and objects for personal and household use,
August 2000,Other service activities,21
August 2000,Housekeeping with paid staff,22
August 2000,Service activities and home production of various products for personal use,2
August 2000,Activities of extra territorial organisations and bodies,39
August 2000,Working from home,1
August 2000,Student,
August 2000,No work history,
August 2000,Uncertain,62
September 2000,Cultivation of crops and animal husbandry; hunting and related service activities,9
September 2000,Forestry and logging,7
September 2000,Fishing and aquaculture,57
September 2000,Coal mining,
September 2000,Crude oil and natural gas production,
September 2000,Metallurgy and metallurgy,1
September 2000,Mining and processing of other raw materials from the ground,2
September 2000,Mining services,
September 2000,Food production,124
September 2000,Manufacture of beverages,58
September 2000,Manufacture of textiles,3
September 2000,Clothing making,
September 2000,Manufacture of leather and leather products,4
September 2000,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,22
September 2000,Manufacture of paper and paper products,6
September 2000,Printing and duplication of recorded material,1
September 2000,Production of coke and refined petroleum products,7
September 2000,Manufacture of chemicals and chemical products,14
September 2000,Manufacture of pharmaceutical preparations and preparations,
September 2000,Manufacture of rubber and plastic products,9
September 2000,Manufacture of non-metallic mineral products,
September 2000,Manufacture of basic metals,22
September 2000,Manufacture of fabricated metal products; except machinery and equipment,11
September 2000,Manufacture of computer; electronic and optical products,4
September 2000,Manufacture of electrical and household appliances,7
September 2000,Manufacture of other machinery and equipment nec,
September 2000,Manufacture of motor vehicles and trailers,
September 2000,Manufacture of other vehicles,1
September 2000,Manufacture of furniture and fittings,
September 2000,Production; nec,5
September 2000,Repair and installation of hardware and equipment,1
September 2000,Electricity; gas and heating utilities; refrigeration and ventilation systems,5
September 2000,Water supply; collection and treatment of water,2
September 2000,Garbage collection; treatment and disposal of waste; material reuse,2
September 2000,Decontamination and other waste treatment services,
September 2000,Housing construction; development of construction projects,
September 2000,Civil engineering,15
September 2000,Specialized construction activities,
September 2000,Sale; repair and maintenance of motor vehicles and trailers,25
September 2000,Wholesale trade; except of motor vehicles and motorcycles,
September 2000,Retail trade; except of motor vehicles and motorcycles,19
September 2000,Land transport and by pipeline,15
September 2000,Transport by sea and waterways,62
September 2000,Air transportation,199
September 2000,Warehousing and support activities for transport,10
September 2000,Post and courier services,7
September 2000,Operation of accommodation,5
September 2000,Catering and service,46
September 2000,Publishing activities,17
September 2000,Production of films; videos and television material; audio recording and music publishing,28
September 2000,Radio and television broadcasting; programming,62
September 2000,Telecommunications,18
September 2000,Information technology services,1
September 2000,Information service activities,4
September 2000,Financial services; excluding the activities of insurance companies and pension funds,7
September 2000,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,6
September 2000,Activities related to financial services and insurance,3
September 2000,Real estate,33
September 2000,Legal services and accounting,4
September 2000,Headquarters operations; operations consultancy activities,3
September 2000,Activities of architects and engineers; technical tests and analysis,5
September 2000,Scientific research and development,6
September 2000,Advertising and marketing research,
September 2000,Other professional; scientific and technical activities,7
September 2000,Veterinary medicine,2
September 2000,Rental activities; except real estate leasing,7
September 2000,Employment agency,1
September 2000,Travel agencies; tour operators and other booking services,
September 2000,Security and research activities,2
September 2000,Real estate management; cleaning services and ornamental gardening,2
September 2000,Office services and other business services,6
September 2000,Public administration; defense and social security,2
September 2000,Educational activities,35
September 2000,Health care,10
September 2000,Care in residential homes,43
September 2000,Social services without a stay in an institution,113
September 2000,Creative arts and entertainment,78
September 2000,Museum activities and other cultural activities,33
September 2000,Financial risk and betting activities,37
September 2000,Sports and leisure activities,9
September 2000,Activities of NGOs,12
September 2000,Repair of computers and objects for personal and household use,
September 2000,Other service activities,22
September 2000,Housekeeping with paid staff,18
